"term","nbin","mean","mean.lower","mean.upper","type","N"
"rcs.3.same",60,0.00587017208154145,0.0058423254218938,0.00589792169137147,"skew",1000
"rcs.2.diff",60,0.897406457089652,0.89717153070702,0.897652783685864,"skew",1000
"rcs.3.diff",60,0.330913725202596,0.330823356220658,0.331008479497429,"skew",1000
"x",70,0.830627619260247,0.830485822598792,0.830776296852687,"skew",1000
"x2",70,0.701081014322608,0.700832209468658,0.701340618434766,"skew",1000
"x3",70,0.59977617583356,0.59945990150404,0.600104921553919,"skew",1000
"rcs.2.same",70,0.12418455633427,0.123965399859637,0.124392626007155,"skew",1000
"rcs.3.same",70,0.00584180483474955,0.00581780889515827,0.00586595737829663,"skew",1000
"rcs.2.diff",70,0.89715512935178,0.896954250270978,0.897365756441295,"skew",1000
"rcs.3.diff",70,0.330817047121787,0.330739775093753,0.330898068910122,"skew",1000
"x",80,0.83062796736624,0.830504119649274,0.83075782501027,"skew",1000
"x2",80,0.701056980448156,0.700839311094694,0.701284289680557,"skew",1000
"x3",80,0.599722173100555,0.599445920782387,0.600010194266155,"skew",1000
"rcs.2.same",80,0.124120906566297,0.12393063553496,0.124303659871178,"skew",1000
"rcs.3.same",80,0.00583142757511379,0.00581036808992787,0.00585228348420625,"skew",1000
"rcs.2.diff",80,0.89715562250311,0.896980171154054,0.897339587935723,"skew",1000
"rcs.3.diff",80,0.330817236821994,0.330749746063332,0.330888002687756,"skew",1000
"x",90,0.830582380968899,0.830472448725748,0.830697647866407,"skew",1000
"x2",90,0.700979144219219,0.700786084106413,0.701180525959997,"skew",1000
"x3",90,0.59962067046873,0.599376315695311,0.599876768607017,"skew",1000
"rcs.2.same",90,0.124055881650952,0.123886186410291,0.124218284242745,"skew",1000
"rcs.3.same",90,0.0058264477669998,0.0058081029613965,0.00584503609859074,"skew",1000
"rcs.2.diff",90,0.897091041620166,0.896935303905835,0.897254336779451,"skew",1000
"rcs.3.diff",90,0.330792394534896,0.330732487007544,0.330855209179785,"skew",1000
"x",100,0.830575449894807,0.830476621918641,0.830679073671356,"skew",1000
"x2",100,0.7009712919032,0.700797485868204,0.701152457803144,"skew",1000
"x3",100,0.599617042034627,0.599396789142521,0.599847274452936,"skew",1000
"rcs.2.same",100,0.124082625489131,0.123929792249472,0.124228253363017,"skew",1000
"rcs.3.same",100,0.00583544104126767,0.00581900945150387,0.0058522074357579,"skew",1000
"rcs.2.diff",100,0.897081222575215,0.896941215943141,0.897228023273968,"skew",1000
"rcs.3.diff",100,0.330788617449131,0.330734761187168,0.330845087180395,"skew",1000
"x",5,8.48149256327997,8.40537518345099,8.56130367208631,"double",1000
"x2",5,92.6865069362667,91.1497677574519,94.1397114293055,"double",1000
"x3",5,1140.04904148175,1111.55712830735,1167.75652558374,"double",1000
"rcs.2.same",5,3.79107684795284,3.69504106942093,3.88517206091199,"double",1000
"rcs.3.same",5,1.08406485711343,1.04551459322048,1.12505454368172,"double",1000
"rcs.2.diff",5,11.7707563752517,11.661617471711,11.8861205415791,"double",1000
"rcs.3.diff",5,4.51379034809512,4.471791873924,4.55813579861696,"double",1000
"x",10,8.4639172695484,8.43008732295775,8.49938887346234,"double",1000
"x2",10,89.0705500671972,88.4082335736968,89.726680155974,"double",1000
"x3",10,1048.85536124506,1037.27722648577,1061.54084044195,"double",1000
"rcs.2.same",10,3.49293270922823,3.44979884776091,3.53779921674048,"double",1000
"rcs.3.same",10,0.960159305374485,0.943644301534385,0.977148711980289,"double",1000
"rcs.2.diff",10,11.7139768530428,11.6659314376094,11.7652632307464,"double",1000
"rcs.3.diff",10,4.49175121513189,4.47326957558351,4.51148270054724,"double",1000
"x",20,8.49662368393349,8.48059897239054,8.51342602262956,"double",1000
"x2",20,89.1638230141853,88.8468216490988,89.4783659536523,"double",1000
"x3",20,1046.83839938904,1041.23116119863,1052.85080108367,"double",1000
"rcs.2.same",20,3.48959448847326,3.46942168278056,3.51024876028837,"double",1000
"rcs.3.same",20,0.957448760201866,0.949509638637798,0.965628605055681,"double",1000
"rcs.2.diff",20,11.7597203365636,11.7375215601759,11.7843527450243,"double",1000
"rcs.3.diff",20,4.50935929218168,4.50083803992017,4.51886611155664,"double",1000
"x",30,8.48925615223301,8.47875720329109,8.50026458103389,"double",1000
"x2",30,89.0337940427429,88.828092973633,89.2353959813369,"double",1000
"x3",30,1043.72357084127,1040.03428293146,1047.62260356208,"double",1000
"rcs.2.same",30,3.48088787726661,3.46781297888405,3.49437841712608,"double",1000
"rcs.3.same",30,0.953023120375124,0.947832131326295,0.95829516369671,"double",1000
"rcs.2.diff",30,11.749033160592,11.7341273779143,11.7649522237021,"double",1000
"rcs.3.diff",30,4.50525439071574,4.49950758899871,4.51136612340055,"double",1000
"x",40,8.48659727442432,8.47879036367264,8.4947830291737,"double",1000
"x2",40,88.9139874548535,88.7607008720946,89.0639498444067,"double",1000
"x3",40,1041.60415587578,1038.88711749116,1044.4744537491,"double",1000
"rcs.2.same",40,3.47381840603885,3.46397202000646,3.48381146718278,"double",1000
"rcs.3.same",40,0.950730029255045,0.946914727553887,0.954611333480679,"double",1000
"rcs.2.diff",40,11.7447765322208,11.73374259974,11.7565751661741,"double",1000
"rcs.3.diff",40,4.50358673463772,4.49934201439534,4.50813183363551,"double",1000
"x",50,8.485393927025,8.47918026336549,8.49190911958062,"double",1000
"x2",50,88.8826282274897,88.7604018789994,89.0014124576683,"double",1000
"x3",50,1040.78437777856,1038.60956085151,1043.04868818952,"double",1000
"rcs.2.same",50,3.471456384366,3.46358675043001,3.47928583632721,"double",1000
"rcs.3.same",50,0.949451787883422,0.946389550782956,0.952565028808799,"double",1000
"rcs.2.diff",50,11.7433446911173,11.7345888885087,11.7527548958795,"double",1000
"rcs.3.diff",50,4.50305485318523,4.4996846811554,4.50667494775651,"double",1000
"x",60,8.48644358896968,8.48128308864229,8.49185451160061,"double",1000
"x2",60,88.8637764584589,88.7623835227455,88.9628503766223,"double",1000
"x3",60,1040.27409511692,1038.45791344469,1042.17634519785,"double",1000
"rcs.2.same",60,3.46930416437849,3.46279121413598,3.47585321431554,"double",1000
"rcs.3.same",60,0.94845753637851,0.945919599869325,0.951058117160467,"double",1000
"rcs.2.diff",60,11.7449756410022,11.7376505654419,11.7527952969501,"double",1000
"rcs.3.diff",60,4.50366984725097,4.50085287340376,4.50667787805558,"double",1000
"x",70,8.48377067295206,8.47935807122284,8.48839740389734,"double",1000
"x2",70,88.8657892968875,88.7789823849954,88.9505624430485,"double",1000
"x3",70,1040.55727041684,1039.0260952047,1042.19302408029,"double",1000
"rcs.2.same",70,3.47137012503373,3.465823645484,3.47698773381966,"double",1000
"rcs.3.same",70,0.949497685958168,0.947362163682669,0.951729790823583,"double",1000
"rcs.2.diff",70,11.7410447625079,11.7348403571748,11.7477314699472,"double",1000
"rcs.3.diff",70,4.50216805768045,4.49978821168152,4.50475279766933,"double",1000
"x",80,8.48521940033478,8.48136535578648,8.4892604691351,"double",1000
"x2",80,88.8530963849349,88.7772443748821,88.9266839572952,"double",1000
"x3",80,1040.09882345691,1038.74254867696,1041.5244088352,"double",1000
"rcs.2.same",80,3.46835151661081,3.46353592906409,3.47331575546602,"double",1000
"rcs.3.same",80,0.948157935789792,0.946282490309725,0.950122380570203,"double",1000
"rcs.2.diff",80,11.7431440995146,11.7376872423498,11.7489830192269,"double",1000
"rcs.3.diff",80,4.5029661647861,4.50086927079284,4.5052121276238,"double",1000
"x",90,8.48369240650224,8.48027140066723,8.48727942262835,"double",1000
"x2",90,88.8360275201483,88.7686580243428,88.9015368055487,"double",1000
"x3",90,1040.04480727243,1038.85058119213,1041.31340293248,"double",1000
"rcs.2.same",90,3.46855137550011,3.46429269129619,3.47295704427524,"double",1000
"rcs.3.same",90,0.948532762009332,0.946862645404872,0.950255164053679,"double",1000
"rcs.2.diff",90,11.7410832777604,11.7362248018452,11.7462669264868,"double",1000
"rcs.3.diff",90,4.50217256416116,4.50030386170836,4.5041665674713,"double",1000
"x",100,8.48320696430799,8.48013151461793,8.48643165557288,"double",1000
"x2",100,88.8416682331877,88.7812741097848,88.9006835054983,"double",1000
"x3",100,1040.18637048545,1039.11304112373,1041.32884317671,"double",1000
"rcs.2.same",100,3.46909159373642,3.46524910870454,3.47304218788006,"double",1000
"rcs.3.same",100,0.94857828445477,0.947077249134588,0.950132838434051,"double",1000
"rcs.2.diff",100,11.7402507683302,11.7359122939408,11.7449055160762,"double",1000
"rcs.3.diff",100,4.50185614135408,4.50018997323226,4.50364546419373,"double",1000
