"shift","Dxy","C (ROC)","R2","D","D:Chi-sq","D:p","U","U:Chi-sq","U:p","Q","Brier","Intercept","Slope","Emax","E90","Eavg","S:z","S:p","type_shift","model","alpha","drift","slope","ncase.dev","ncase.ext"
-2.54369608535575,0.263564260956325,0.631782130478163,-0.022747390622961,-0.0140259945445625,-139.259945445625,1,0.0457108211116725,459.108211116725,0,-0.059736815656235,0.152933219353774,-0.757071135768677,0.438304494000794,0.466115830623006,0.12731439213056,0.0636112409312745,11.9422680577381,7.12533399433754e-33,"optimal","correct",0.2,-2,0.5,5260,1852
-2,0.263656506890347,0.631828253445174,0.00981218043628551,0.00596742644986298,60.6742644986298,6.77236045021345e-15,0.0252653127148848,254.653127148847,0,-0.0192978862650218,0.150860811570879,-0.745270940601486,0.571950592466088,0.233448487033215,0.117894672350815,0.0555830085429276,-4.51988637902076,6.18728288593822e-06,"other","incorrect",0.2,-2,0.5,5260,1852
-1.5,0.263656506890347,0.631828253445174,-0.132572706347992,-0.0786606996169567,-785.606996169567,1,0.109893438781705,1100.93438781705,0,-0.188554138398661,0.170445486635436,-1.03124623683454,0.571950592466081,0.356531054132646,0.240984929356485,0.133023756408982,-12.4036102752956,2.49809368642506e-35,"other","incorrect",0.2,-2,0.5,5260,1852
-1,0.263656506890347,0.631828253445174,-0.478574345458192,-0.258636678177117,-2585.36678177117,1,0.289869417341865,2900.69417341865,0,-0.548506095518982,0.212023293541662,-1.31722153306758,0.571950592466078,0.45387708283534,0.361256603489587,0.230949088011973,0.67998227853482,0.496515681955131,"other","incorrect",0.2,-2,0.5,5260,1852
-0.5,0.263656506890347,0.631828253445174,-1.1705757499798,-0.543378348850447,-5432.78348850447,1,0.574611088015194,5748.11088015194,0,-1.11798943686564,0.27611729637129,-1.60319682930061,0.571950592466072,0.525231783772532,0.465984197603769,0.336368903814625,39.4830506399638,0,"other","incorrect",0.2,-2,0.5,5260,1852
0,0.263656506890347,0.631828253445174,-2.5049311118925,-0.933936348090035,-9338.36348090035,1,0.965169087254782,9653.69087254782,0,-1.89910543534482,0.357026571722997,-1.88917212553364,0.571950592466063,0.574661477629755,0.548319651172667,0.439251480885253,86.5986844783086,0,"no","incorrect",0.2,-2,0.5,5260,1852
0.5,0.263656506890347,0.631828253445174,-5.10948915604381,-1.42318922069327,-14230.8922069327,1,1.45442195985801,14546.2195985801,0,-2.87761118055128,0.445135783094072,-2.17514742176667,0.571950592466061,0.608468620059569,0.607953315881727,0.531760620530683,133.546025347567,0,"other","incorrect",0.2,-2,0.5,5260,1852
1,0.263656506890347,0.631828253445174,-10.3390576625471,-1.99804245492322,-19979.4245492322,1,2.02927519408797,20294.7519408797,0,-4.02731764901119,0.530563055899384,-2.46112271799972,0.57195059246607,0.666258688336733,0.665109629212448,0.609340637774115,181.606090679586,0,"other","incorrect",0.2,-2,0.5,5260,1852
1.5,0.263656506890347,0.631828253445174,-21.1627127148049,-2.64247208599133,-26423.7208599133,1,2.67370482515608,26739.0482515608,0,-5.3161769111474,0.605942173523805,-2.74709801423272,0.571950592466056,0.720351573537388,0.718214857233279,0.670508472780322,233.408263768911,0,"other","incorrect",0.2,-2,0.5,5260,1852
2,0.263656506890347,0.631828253445174,-44.1615576253105,-3.3403050682661,-33402.050682661,1,3.37153780743085,33717.3780743085,0,-6.71184287569695,0.667467616280323,-3.03307331046576,0.571950592466062,0.76315807177178,0.761197626868351,0.716163976312819,291.805489799951,0,"other","incorrect",0.2,-2,0.5,5260,1852
-1.5856002531832,0.263656506890347,0.631828253445174,-0.0963132247548207,-0.0577796842457476,-576.796842457476,1,0.0890124234104955,892.124234104955,0,-0.146792107656243,0.165641549024256,-0.982287121311155,0.571950592466079,0.337180369870401,0.219703901415648,0.117863492359685,-12.0921200461891,1.16247718701263e-33,"recalibration","incorrect",0.2,-2,0.5,5260,1852
-2.27918512935841,0.263656506890347,0.631828253445174,0.0280993365481963,0.0173745997524089,174.745997524089,0,0.0138581394123386,140.581394123386,0,0.00351646034007026,0.147463566309086,-0.585590840457228,0.571950592466084,0.155967828293449,0.0575795572754973,0.0312114727564768,3.76242784020245,0.000168271867374529,"optimal","incorrect",0.2,-2,0.5,5260,1852
-2,0.291620084436904,0.645810042218452,-0.0893443170854001,-0.0547763246580424,-546.763246580424,1,0.0973757561349728,975.757561349728,0,-0.152152080793015,0.172846535341579,-0.94581692602995,0.467124848674893,0.462470997932182,0.27613222225985,0.104249259630781,5.5969367260117,2.18172286548231e-08,"other","correct",0.3,-2,0.5,5383,1967
-1.5,0.291620084436904,0.645810042218452,-0.320149505733729,-0.183569270231951,-1834.69270231951,1,0.226168701708882,2263.68701708882,0,-0.409737971940833,0.201402453597398,-1.1793793503674,0.467124848674895,0.522994097667157,0.385225621506472,0.172977480885892,10.0096095662256,1.38297245715042e-23,"other","correct",0.3,-2,0.5,5383,1967
-1,0.291620084436904,0.645810042218452,-0.789084681014673,-0.403124894683133,-4030.24894683133,1,0.445724326160063,4459.24326160063,0,-0.848849220843195,0.246291617588013,-1.41294177470484,0.467124848674894,0.565716360148968,0.476624598895814,0.265740284182599,28.2386025821416,1.96466541503682e-175,"other","correct",0.3,-2,0.5,5383,1967
-0.5,0.291620084436904,0.645810042218452,-1.67284507670138,-0.719032120303158,-7189.32120303158,1,0.761631551780089,7618.31551780089,0,-1.48066367208325,0.306780710007553,-1.64650419904229,0.467124848674893,0.595461275258364,0.546504972361228,0.36227441181322,62.1166386547461,0,"other","correct",0.3,-2,0.5,5383,1967
0,0.291620084436904,0.645810042218452,-3.33812246605667,-1.13141204877744,-11313.1204877744,1,1.17401148025437,11742.1148025437,0,-2.3054235290318,0.379724464454381,-1.88006662337974,0.467124848674898,0.615835882658881,0.596315484875744,0.45615767470864,109.794781987844,0,"no","correct",0.3,-2,0.5,5383,1967
0.5,0.291620084436904,0.645810042218452,-6.56097286351224,-1.63460783182167,-16345.0783182167,1,1.6772072632986,16774.072632986,0,-3.31181509512028,0.459654189884447,-2.11362904771719,0.467124848674895,0.630315727735545,0.630036258582656,0.541800037202631,161.816416835765,0,"other","correct",0.3,-2,0.5,5383,1967
1,0.291620084436904,0.645810042218452,-13.0142917253741,-2.21779717728531,-22176.9717728531,1,2.26039660876224,22605.9660876224,0,-4.47819378604755,0.539330373727458,-2.34719147205466,0.467124848674907,0.673911594664897,0.671434713119519,0.6146962477585,208.49897357801,0,"other","correct",0.3,-2,0.5,5383,1967
1.5,0.291620084436904,0.645810042218452,-26.3534095298276,-2.86666986525137,-28665.6986525137,1,2.9092692967283,29094.692967283,0,-5.77593916197966,0.611363567468016,-2.5807538963921,0.467124848674903,0.717746605705077,0.716241884538036,0.67245555677804,252.354875841572,0,"other","correct",0.3,-2,0.5,5383,1967
2,0.291620084436904,0.645810042218452,-54.6345964671666,-3.56584652671481,-35657.4652671481,1,3.60844595819174,36086.4595819174,0,-7.17429248490655,0.670528989379686,-2.81431632072954,0.467124848674899,0.756827210544857,0.754253188816314,0.715211370367215,302.594813902747,0,"other","correct",0.3,-2,0.5,5383,1967
-1.56054921383872,0.291620084436904,0.645810042218452,-0.281837196546816,-0.163305949439808,-1632.05949439808,1,0.205905380916739,2061.05380916739,0,-0.369211330356547,0.197086004478579,-1.1510953080156,0.467124848674894,0.516721752282762,0.372812259524209,0.163111959680748,8.79373553513934,1.44667869138438e-18,"recalibration","correct",0.3,-2,0.5,5383,1967
-2.58930766388188,0.291620084436904,0.645810042218452,-0.00883547522602169,-0.00564223790788346,-55.4223790788346,1,0.0482416693848145,484.416693848145,0,-0.053883907292698,0.157865910765336,-0.670536672716178,0.46712484867489,0.360806930553228,0.136810128918016,0.0668664309090558,13.6849361494217,1.24916830017719e-42,"optimal","correct",0.3,-2,0.5,5383,1967
-2,0.291943483511805,0.645971741755903,0.0343924333578551,0.0217707008196579,218.707008196579,0,0.0173058207177721,175.058207177721,0,0.00446488010188586,0.154311464570669,-0.604510229876024,0.648264377273322,0.0887474806145473,0.0866387006295294,0.0487773540266853,-4.40145758474029,1.075260897538e-05,"other","incorrect",0.3,-2,0.5,5383,1967
-1.5,0.291943483511805,0.645971741755903,-0.0945604148525204,-0.0578779240833414,-577.779240833413,1,0.0969544456207717,971.544456207717,0,-0.154832369704113,0.172701734430071,-0.928642418512684,0.648264377273324,0.228139491812363,0.208447147619787,0.127837404572674,-12.97642775615,1.66465197516285e-38,"other","incorrect",0.3,-2,0.5,5383,1967
-1,0.291943483511805,0.645971741755903,-0.419591293788621,-0.234324471551871,-2342.24471551871,1,0.273400993089301,2736.00993089301,0,-0.507725464641173,0.213642229486377,-1.25277460714935,0.64826437727332,0.347515452466665,0.327946896483671,0.226694788205457,0.36541027936481,0.71480516917332,"other","incorrect",0.3,-2,0.5,5383,1967
-0.5,0.291943483511805,0.645971741755903,-1.0748597586603,-0.516569811380086,-5164.69811380086,1,0.555646332917516,5558.46332917516,0,-1.0722161442976,0.277513606732061,-1.576906795786,0.648264377273318,0.436529719141366,0.432207080306684,0.332615803031866,39.9512465164114,0,"other","incorrect",0.3,-2,0.5,5383,1967
0,0.291943483511805,0.645971741755903,-2.33973883287528,-0.905016293523033,-9049.16293523033,1,0.944092815060463,9442.92815060463,0,-1.8491091085835,0.358237240515108,-1.90103898442266,0.648264377273317,0.518656848463894,0.518028117508941,0.435445410319049,87.0897526903344,0,"no","incorrect",0.3,-2,0.5,5383,1967
